task_id,task_domain,task_type,difficulty,task_description,constraints,required_capabilities,expected_tools,available_tools,ground_truth,success_criteria
task_00394,verification,verification,medium,Verify the 5 claims about energy usage patterns against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 5 items,verification,"validator,sql_query,calculator","validator,sql_query,calculator",gt_verification_energy_usage_patterns_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00395,api_workflows,api_workflows,medium,Call the compliance audit findings API and assemble a report combining 3 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 3 items,api workflows,"api_client,validator,calculator","api_client,validator,calculator",gt_api_workflows_compliance_audit_findings_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00396,web_research,web_research,hard,Research marketing campaign ROI using web search and summarize the top 5 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 5 items; Must cite the source of every factual claim,web research,"web_search,browser,validator","web_search,browser,validator,api_client",gt_web_research_marketing_campaign_ROI_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00397,data_analysis,data_analysis,easy,Query the budget variance analysis table and compute the requested aggregate for the last 4 periods.,Must use only tools from the data_analysis toolset,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor,api_client",gt_data_analysis_budget_variance_analysis_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00398,rag,rag,hard,Answer the question about hiring pipeline metrics grounded only in the retrieved 5 passages.,Must use only tools from the rag toolset; Must return exactly 5 items; Must cite the source of every factual claim,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_hiring_pipeline_metrics_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00399,coding,coding,hard,Write and run a script that solves customer churn drivers and returns the result for 5 test cases.,Must use only tools from the coding toolset; Must return exactly 5 items; Must cite the source of every factual claim,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer",gt_coding_customer_churn_drivers_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00400,data_analysis,data_analysis,hard,Query the subscription renewal rates table and compute the requested aggregate for the last 4 periods.,Must use only tools from the data_analysis toolset; Must return exactly 4 items; Must cite the source of every factual claim,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor,api_client",gt_data_analysis_subscription_renewal_rates_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00401,constraint_satisfaction,constraint_satisfaction,easy,Find an assignment for compliance audit findings satisfying all 2 stated constraints.,Must use only tools from the constraint_satisfaction toolset,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query,code_executor",gt_constraint_satisfaction_compliance_audit_findings_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00402,verification,verification,easy,Verify the 3 claims about supply chain bottlenecks against the source data and flag unsupported ones.,Must use only tools from the verification toolset,verification,"validator,sql_query,calculator","validator,sql_query,calculator",gt_verification_supply_chain_bottlenecks_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00403,data_analysis,data_analysis,hard,Query the customer churn drivers table and compute the requested aggregate for the last 2 periods.,Must use only tools from the data_analysis toolset; Must return exactly 2 items; Must cite the source of every factual claim,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor",gt_data_analysis_customer_churn_drivers_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00404,file_operations,file_operations,hard,"Read pricing tier comparison, transform it, and write 5 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 5 items; Must cite the source of every factual claim,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator",gt_file_operations_pricing_tier_comparison_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00405,multi_step_reasoning,multi_step_reasoning,hard,Answer a multi-step question about vendor contract terms requiring 3 intermediate computations.,Must use only tools from the multi_step_reasoning toolset; Must return exactly 3 items; Must cite the source of every factual claim,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator",gt_multi_step_reasoning_vendor_contract_terms_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00406,structured_extraction,structured_extraction,hard,Extract 5 structured fields describing employee onboarding steps from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 5 items; Must cite the source of every factual claim,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_employee_onboarding_steps_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00407,file_operations,file_operations,medium,"Read marketing campaign ROI, transform it, and write 5 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 5 items,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_marketing_campaign_ROI_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00408,planning,planning,medium,Produce a 2-step plan to accomplish vendor contract terms respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 2 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator,web_search",gt_planning_vendor_contract_terms_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00409,structured_extraction,structured_extraction,medium,Extract 2 structured fields describing hiring pipeline metrics from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 2 items,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_hiring_pipeline_metrics_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00410,verification,verification,easy,Verify the 2 claims about regional sales performance against the source data and flag unsupported ones.,Must use only tools from the verification toolset,verification,"validator,sql_query,calculator","validator,sql_query,calculator,web_search",gt_verification_regional_sales_performance_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00411,coding,coding,easy,Write and run a script that solves energy usage patterns and returns the result for 3 test cases.,Must use only tools from the coding toolset,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer",gt_coding_energy_usage_patterns_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00412,information_retrieval,information_retrieval,hard,Find the 2 most relevant sources for quarterly revenue trends and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 2 items; Must cite the source of every factual claim,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator,file_reader",gt_information_retrieval_quarterly_revenue_trends_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00413,api_workflows,api_workflows,easy,Call the shipping delay root causes API and assemble a report combining 2 endpoint responses.,Must use only tools from the api_workflows toolset,api workflows,"api_client,validator,calculator","api_client,validator,calculator",gt_api_workflows_shipping_delay_root_causes_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00414,data_analysis,data_analysis,hard,Query the inventory reorder points table and compute the requested aggregate for the last 4 periods.,Must use only tools from the data_analysis toolset; Must return exactly 4 items; Must cite the source of every factual claim,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor",gt_data_analysis_inventory_reorder_points_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00415,constraint_satisfaction,constraint_satisfaction,hard,Find an assignment for employee onboarding steps satisfying all 5 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 5 items; Must cite the source of every factual claim,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query",gt_constraint_satisfaction_employee_onboarding_steps_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00416,multi_step_reasoning,multi_step_reasoning,hard,Answer a multi-step question about vendor contract terms requiring 3 intermediate computations.,Must use only tools from the multi_step_reasoning toolset; Must return exactly 3 items; Must cite the source of every factual claim,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator,code_executor",gt_multi_step_reasoning_vendor_contract_terms_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00417,information_retrieval,information_retrieval,medium,Find the 4 most relevant sources for employee onboarding steps and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 4 items,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator,file_reader",gt_information_retrieval_employee_onboarding_steps_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00418,verification,verification,hard,Verify the 4 claims about vendor contract terms against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 4 items; Must cite the source of every factual claim,verification,"validator,sql_query,calculator","validator,sql_query,calculator,web_search",gt_verification_vendor_contract_terms_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00419,multi_step_reasoning,multi_step_reasoning,medium,Answer a multi-step question about regional sales performance requiring 2 intermediate computations.,Must use only tools from the multi_step_reasoning toolset; Must return exactly 2 items,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator,code_executor",gt_multi_step_reasoning_regional_sales_performance_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00420,multi_step_reasoning,multi_step_reasoning,easy,Answer a multi-step question about hiring pipeline metrics requiring 4 intermediate computations.,Must use only tools from the multi_step_reasoning toolset,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator,code_executor",gt_multi_step_reasoning_hiring_pipeline_metrics_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00421,file_operations,file_operations,easy,"Read competitor feature matrix, transform it, and write 5 output files with the results.",Must use only tools from the file_operations toolset,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_competitor_feature_matrix_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00422,document_analysis,document_analysis,medium,Read the provided document set on quarterly revenue trends and extract the 4 key claims with citations.,Must use only tools from the document_analysis toolset; Must return exactly 4 items,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator,sql_query",gt_document_analysis_quarterly_revenue_trends_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00423,coding,coding,medium,Write and run a script that solves energy usage patterns and returns the result for 4 test cases.,Must use only tools from the coding toolset; Must return exactly 4 items,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_energy_usage_patterns_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00424,information_retrieval,information_retrieval,easy,Find the 4 most relevant sources for budget variance analysis and rank them by relevance.,Must use only tools from the information_retrieval toolset,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator,file_reader",gt_information_retrieval_budget_variance_analysis_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00425,file_operations,file_operations,easy,"Read pricing tier comparison, transform it, and write 4 output files with the results.",Must use only tools from the file_operations toolset,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_pricing_tier_comparison_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00426,verification,verification,hard,Verify the 3 claims about inventory reorder points against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 3 items; Must cite the source of every factual claim,verification,"validator,sql_query,calculator","validator,sql_query,calculator,web_search",gt_verification_inventory_reorder_points_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00427,constraint_satisfaction,constraint_satisfaction,medium,Find an assignment for warehouse capacity planning satisfying all 4 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 4 items,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query,code_executor",gt_constraint_satisfaction_warehouse_capacity_planning_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00428,constraint_satisfaction,constraint_satisfaction,medium,Find an assignment for shipping delay root causes satisfying all 5 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 5 items,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query",gt_constraint_satisfaction_shipping_delay_root_causes_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00429,coding,coding,medium,Write and run a script that solves regional sales performance and returns the result for 5 test cases.,Must use only tools from the coding toolset; Must return exactly 5 items,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer",gt_coding_regional_sales_performance_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00430,multi_step_reasoning,multi_step_reasoning,medium,Answer a multi-step question about support ticket backlog requiring 3 intermediate computations.,Must use only tools from the multi_step_reasoning toolset; Must return exactly 3 items,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator",gt_multi_step_reasoning_support_ticket_backlog_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00431,api_workflows,api_workflows,medium,Call the supply chain bottlenecks API and assemble a report combining 3 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 3 items,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_supply_chain_bottlenecks_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00432,planning,planning,medium,Produce a 2-step plan to accomplish regional sales performance respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 2 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator,web_search",gt_planning_regional_sales_performance_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00433,api_workflows,api_workflows,medium,Call the pricing tier comparison API and assemble a report combining 2 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 2 items,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_pricing_tier_comparison_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00434,rag,rag,easy,Answer the question about customer churn drivers grounded only in the retrieved 5 passages.,Must use only tools from the rag toolset,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_customer_churn_drivers_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00435,coding,coding,easy,Write and run a script that solves shipping delay root causes and returns the result for 3 test cases.,Must use only tools from the coding toolset,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer",gt_coding_shipping_delay_root_causes_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00436,information_retrieval,information_retrieval,hard,Find the 4 most relevant sources for shipping delay root causes and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 4 items; Must cite the source of every factual claim,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator,file_reader",gt_information_retrieval_shipping_delay_root_causes_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00437,file_operations,file_operations,medium,"Read product defect reports, transform it, and write 5 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 5 items,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_product_defect_reports_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00438,document_analysis,document_analysis,easy,Read the provided document set on product defect reports and extract the 2 key claims with citations.,Must use only tools from the document_analysis toolset,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator",gt_document_analysis_product_defect_reports_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00439,constraint_satisfaction,constraint_satisfaction,easy,Find an assignment for budget variance analysis satisfying all 3 stated constraints.,Must use only tools from the constraint_satisfaction toolset,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query",gt_constraint_satisfaction_budget_variance_analysis_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00440,information_retrieval,information_retrieval,medium,Find the 5 most relevant sources for vendor contract terms and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 5 items,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator,file_reader",gt_information_retrieval_vendor_contract_terms_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00441,planning,planning,easy,Produce a 3-step plan to accomplish warehouse capacity planning respecting the stated constraints.,Must use only tools from the planning toolset,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator,web_search",gt_planning_warehouse_capacity_planning_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00442,api_workflows,api_workflows,medium,Call the regional sales performance API and assemble a report combining 3 endpoint responses.,Must use only tools from the api_workflows toolset; Must return exactly 3 items,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_regional_sales_performance_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00443,rag,rag,easy,Answer the question about hiring pipeline metrics grounded only in the retrieved 2 passages.,Must use only tools from the rag toolset,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_hiring_pipeline_metrics_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00444,coding,coding,medium,Write and run a script that solves budget variance analysis and returns the result for 3 test cases.,Must use only tools from the coding toolset; Must return exactly 3 items,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_budget_variance_analysis_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00445,rag,rag,hard,Answer the question about employee onboarding steps grounded only in the retrieved 2 passages.,Must use only tools from the rag toolset; Must return exactly 2 items; Must cite the source of every factual claim,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_employee_onboarding_steps_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00446,verification,verification,medium,Verify the 5 claims about quarterly revenue trends against the source data and flag unsupported ones.,Must use only tools from the verification toolset; Must return exactly 5 items,verification,"validator,sql_query,calculator","validator,sql_query,calculator",gt_verification_quarterly_revenue_trends_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00447,information_retrieval,information_retrieval,hard,Find the 5 most relevant sources for pricing tier comparison and rank them by relevance.,Must use only tools from the information_retrieval toolset; Must return exactly 5 items; Must cite the source of every factual claim,information retrieval,"web_search,doc_retriever,validator","web_search,doc_retriever,validator",gt_information_retrieval_pricing_tier_comparison_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00448,rag,rag,medium,Answer the question about hiring pipeline metrics grounded only in the retrieved 2 passages.,Must use only tools from the rag toolset; Must return exactly 2 items,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_hiring_pipeline_metrics_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00449,structured_extraction,structured_extraction,medium,Extract 3 structured fields describing marketing campaign ROI from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 3 items,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator",gt_structured_extraction_marketing_campaign_ROI_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00450,planning,planning,medium,Produce a 5-step plan to accomplish pricing tier comparison respecting the stated constraints.,Must use only tools from the planning toolset; Must return exactly 5 items,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator,web_search",gt_planning_pricing_tier_comparison_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00451,file_operations,file_operations,hard,"Read employee onboarding steps, transform it, and write 2 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 2 items; Must cite the source of every factual claim,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator",gt_file_operations_employee_onboarding_steps_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00452,rag,rag,hard,Answer the question about vendor contract terms grounded only in the retrieved 5 passages.,Must use only tools from the rag toolset; Must return exactly 5 items; Must cite the source of every factual claim,rag,"doc_retriever,web_search,validator","doc_retriever,web_search,validator,file_reader",gt_rag_vendor_contract_terms_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00453,document_analysis,document_analysis,easy,Read the provided document set on compliance audit findings and extract the 5 key claims with citations.,Must use only tools from the document_analysis toolset,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator",gt_document_analysis_compliance_audit_findings_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00454,structured_extraction,structured_extraction,easy,Extract 4 structured fields describing energy usage patterns from the source file.,Must use only tools from the structured_extraction toolset,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator,sql_query",gt_structured_extraction_energy_usage_patterns_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00455,data_analysis,data_analysis,easy,Query the shipping delay root causes table and compute the requested aggregate for the last 4 periods.,Must use only tools from the data_analysis toolset,data analysis,"sql_query,calculator,code_executor","sql_query,calculator,code_executor",gt_data_analysis_shipping_delay_root_causes_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00456,web_research,web_research,medium,Research customer churn drivers using web search and summarize the top 5 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 5 items,web research,"web_search,browser,validator","web_search,browser,validator",gt_web_research_customer_churn_drivers_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00457,multi_step_reasoning,multi_step_reasoning,easy,Answer a multi-step question about shipping delay root causes requiring 2 intermediate computations.,Must use only tools from the multi_step_reasoning toolset,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator,code_executor",gt_multi_step_reasoning_shipping_delay_root_causes_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00458,constraint_satisfaction,constraint_satisfaction,hard,Find an assignment for hiring pipeline metrics satisfying all 2 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 2 items; Must cite the source of every factual claim,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query",gt_constraint_satisfaction_hiring_pipeline_metrics_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00459,verification,verification,easy,Verify the 5 claims about warehouse capacity planning against the source data and flag unsupported ones.,Must use only tools from the verification toolset,verification,"validator,sql_query,calculator","validator,sql_query,calculator",gt_verification_warehouse_capacity_planning_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00460,coding,coding,easy,Write and run a script that solves quarterly revenue trends and returns the result for 3 test cases.,Must use only tools from the coding toolset,coding,"code_executor,file_reader,file_writer","code_executor,file_reader,file_writer,sql_query",gt_coding_quarterly_revenue_trends_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00461,file_operations,file_operations,hard,"Read inventory reorder points, transform it, and write 4 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 4 items; Must cite the source of every factual claim,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_inventory_reorder_points_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00462,constraint_satisfaction,constraint_satisfaction,hard,Find an assignment for warehouse capacity planning satisfying all 2 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 2 items; Must cite the source of every factual claim,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query,code_executor",gt_constraint_satisfaction_warehouse_capacity_planning_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00463,structured_extraction,structured_extraction,hard,Extract 5 structured fields describing support ticket backlog from the source file.,Must use only tools from the structured_extraction toolset; Must return exactly 5 items; Must cite the source of every factual claim,structured extraction,"file_reader,doc_retriever,validator","file_reader,doc_retriever,validator,sql_query",gt_structured_extraction_support_ticket_backlog_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00464,web_research,web_research,medium,Research budget variance analysis using web search and summarize the top 5 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 5 items,web research,"web_search,browser,validator","web_search,browser,validator,api_client",gt_web_research_budget_variance_analysis_5items,"Final answer must contain exactly 5 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00465,document_analysis,document_analysis,medium,Read the provided document set on product defect reports and extract the 2 key claims with citations.,Must use only tools from the document_analysis toolset; Must return exactly 2 items,document analysis,"doc_retriever,file_reader,validator","doc_retriever,file_reader,validator,sql_query",gt_document_analysis_product_defect_reports_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00466,api_workflows,api_workflows,easy,Call the support ticket backlog API and assemble a report combining 3 endpoint responses.,Must use only tools from the api_workflows toolset,api workflows,"api_client,validator,calculator","api_client,validator,calculator,browser",gt_api_workflows_support_ticket_backlog_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00467,file_operations,file_operations,medium,"Read subscription renewal rates, transform it, and write 4 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 4 items,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator",gt_file_operations_subscription_renewal_rates_4items,"Final answer must contain exactly 4 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00468,multi_step_reasoning,multi_step_reasoning,medium,Answer a multi-step question about server incident timeline requiring 3 intermediate computations.,Must use only tools from the multi_step_reasoning toolset; Must return exactly 3 items,multi step reasoning,"calculator,sql_query,validator","calculator,sql_query,validator",gt_multi_step_reasoning_server_incident_timeline_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00469,web_research,web_research,medium,Research employee onboarding steps using web search and summarize the top 2 findings with sources.,Must use only tools from the web_research toolset; Must return exactly 2 items,web research,"web_search,browser,validator","web_search,browser,validator,api_client",gt_web_research_employee_onboarding_steps_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00470,file_operations,file_operations,medium,"Read vendor contract terms, transform it, and write 2 output files with the results.",Must use only tools from the file_operations toolset; Must return exactly 2 items,file operations,"file_reader,file_writer,validator","file_reader,file_writer,validator,code_executor",gt_file_operations_vendor_contract_terms_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00471,planning,planning,easy,Produce a 2-step plan to accomplish marketing campaign ROI respecting the stated constraints.,Must use only tools from the planning toolset,planning,"doc_retriever,calculator,validator","doc_retriever,calculator,validator",gt_planning_marketing_campaign_ROI_2items,"Final answer must contain exactly 2 items, each traceable to a tool observation, and satisfy all stated constraints."
task_00472,constraint_satisfaction,constraint_satisfaction,hard,Find an assignment for pricing tier comparison satisfying all 3 stated constraints.,Must use only tools from the constraint_satisfaction toolset; Must return exactly 3 items; Must cite the source of every factual claim,constraint satisfaction,"validator,calculator,sql_query","validator,calculator,sql_query,code_executor",gt_constraint_satisfaction_pricing_tier_comparison_3items,"Final answer must contain exactly 3 items, each traceable to a tool observation, and satisfy all stated constraints."
